ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24890,JD101272,01/02/2020 03:17:00 AM,072XX S SOUTH SHORE DR,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0334,003,7,43,01A,1194878,1857803,2020,06/20/2020 03:48:45 PM,41.764728045,-87.561272312,"(41.764728045, -87.561272312)"
25174,JD258941,06/09/2020 04:28:00 PM,015XX E 74TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0324,003,7,43,01A,1187743,1856228,2020,06/20/2020 03:48:45 PM,41.760578867,-87.587473675,"(41.760578867, -87.587473675)"
23346,JA298661,06/08/2017 10:23:00 PM,062XX S INGLESIDE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,0313,003,20,42,01A,1183522,1863858,2017,06/20/2020 03:48:45 PM,41.781615697,-87.602706055,"(41.781615697, -87.602706055)"
24394,JC138385,02/03/2019 05:45:00 AM,060XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0311,003,20,40,01A,1178195,1864905,2019,06/20/2020 03:48:45 PM,41.784611316,-87.622204191,"(41.784611316, -87.622204191)"
24055,JB348808,07/13/2018 11:53:00 PM,014XX E 67TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0332,003,5,43,01A,1187049,1860526,2018,06/20/2020 03:48:45 PM,41.772389445,-87.589881021,"(41.772389445, -87.589881021)"
24395,JC138307,02/03/2019 02:34:00 AM,009XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0323,003,8,69,01A,1183963,1855484,2019,06/20/2020 03:48:45 PM,41.758626359,-87.601350551,"(41.758626359, -87.601350551)"
24848,JC525418,11/26/2019 04:22:00 PM,074XX S LANGLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0323,003,6,69,01A,1182184,1855739,2019,06/20/2020 03:48:45 PM,41.759367459,-87.607862507,"(41.759367459, -87.607862507)"
24592,JC298437,06/09/2019 03:22:00 AM,066XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,true,0321,003,20,42,01A,1182361,1861107,2019,06/20/2020 03:48:45 PM,41.774093686,-87.607047693,"(41.774093686, -87.607047693)"
24188,JB444243,09/20/2018 11:04:00 PM,020XX E 67TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0331,003,5,42,01A,1190948,1860951,2018,06/20/2020 03:48:45 PM,41.773462299,-87.575574924,"(41.773462299, -87.575574924)"
25117,JD244007,05/27/2020 01:50:00 AM,062XX S EBERHART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0313,003,20,42,01A,1180653,1863737,2020,06/20/2020 03:48:45 PM,41.781350074,-87.613228101,"(41.781350074, -87.613228101)"
25019,JD203932,04/07/2020 01:21:00 PM,070XX S CRANDON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0331,003,5,43,01A,1192549,1858431,2020,06/20/2020 03:48:45 PM,41.766508372,-87.56978814,"(41.766508372, -87.56978814)"
24867,JC544238,12/12/2019 02:42:00 PM,071XX S STATE ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0323,003,6,69,01A,1177522,1857679,2019,06/20/2020 03:48:45 PM,41.764797653,-87.624889913,"(41.764797653, -87.624889913)"
24772,JC451382,09/28/2019 03:37:00 AM,071XX S CONSTANCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0324,003,7,43,01A,1189606,1858081,2019,06/20/2020 03:48:45 PM,41.765619127,-87.580586386,"(41.765619127, -87.580586386)"
23671,JA367696,08/05/2017 07:00:00 AM,061XX S EBERHART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0313,003,20,42,01A,1180635,1864463,2017,06/20/2020 03:48:45 PM,41.783342701,-87.613271804,"(41.783342701, -87.613271804)"
24652,JC348471,07/14/2019 06:11:00 PM,069XX S JEFFERY BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0331,003,5,43,01A,1190743,1859341,2019,06/20/2020 03:48:45 PM,41.769049288,-87.576378338,"(41.769049288, -87.576378338)"
